id,ingredient_name,ailment_category,specific_ailments,positive_effects,negative_effects,recipe_tags,serving_suggestion
25,Carrots,Eye Health,"Poor Vision,Dry Skin,Weak Immunity","Vitamin A rich,Beta-carotene,Eye health,Skin health","May cause orange skin if excessive,High sugar",eye-health;skin-health;immune-boost,Raw or roasted
26,Tomatoes,Heart Health,"High Blood Pressure,Prostate Issues,Skin Damage","Lycopene,Heart healthy,Antioxidant,Skin protection","May worsen acid reflux,Nightshade sensitivity",heart-healthy;antioxidant;skin-health,Salads or cooked
27,Beets,Blood Health,"Low Blood Pressure,Anemia,Fatigue","Nitrates improve blood flow,Iron rich,Stamina boost,Detoxifying","May cause red urine,High in oxalates",blood-building;energy-boost;detox,Roasted or juiced
28,Celery,Blood Pressure,"High Blood Pressure,Inflammation,Water Retention","Natural diuretic,Lowers blood pressure,Anti-inflammatory,Low calorie","May cause allergic reactions,Pesticide residue concerns",blood-pressure;anti-inflammatory;diuretic,Raw or juiced
29,Cucumber,Hydration,"Dehydration,Skin Issues,Inflammation","Hydrating,Cooling,Skin health,Low calorie","Very low nutrients,May cause gas",hydration;skin-health;cooling,Salads or water infusion
30,Watermelon,Hydration,"Dehydration,Muscle Soreness,High Blood Pressure","Hydrating,Lycopene rich,Muscle recovery,Heart healthy","High sugar,May cause digestive issues",hydration;muscle-support;heart-healthy,Fresh or juiced
31,Pomegranate,Heart Health,"High Blood Pressure,Inflammation,Memory Issues","Antioxidants,Heart healthy,Anti-inflammatory,Memory support","May interact with medications,High sugar",heart-healthy;anti-inflammatory;brain-health,Seeds or juice
32,Cranberries,Urinary Health,"UTI,Kidney Issues,Inflammation","Prevents UTIs,Antioxidants,Anti-inflammatory,Heart healthy","High sugar in juice form,May interact with blood thinners",urinary-health;antioxidant;heart-healthy,Juice or dried
33,Papaya,Digestive Issues,"Indigestion,Constipation,Inflammation","Papain enzyme aids digestion,Fiber rich,Vitamin C,Anti-inflammatory","May cause allergic reactions,Unripe is unsafe in pregnancy",digestive-aid;anti-inflammatory;immune-boost,Fresh or smoothies
34,Pineapple,Inflammation,"Joint Pain,Digestive Issues,Sinus Problems","Bromelain enzyme,Anti-inflammatory,Aids digestion,Immune boost","May cause mouth irritation,High sugar",anti-inflammatory;digestive-aid;immune-boost,Fresh or grilled
35,Mango,Immune Support,"Low Immunity,Digestive Issues,Skin Problems","Vitamin C rich,Fiber source,Skin health,Immune support","High sugar,May cause allergic reactions",immune-boost;digestive-aid;skin-health,Fresh or smoothies
36,Kiwi,Digestive Issues,"Constipation,Sleep Issues,Low Immunity","Fiber rich,Vitamin C,Aids sleep,Digestive enzymes","May cause allergic reactions,Mouth irritation",digestive-aid;sleep-aid;immune-boost,Fresh or salads
37,Orange,Immune Support,"Cold,Flu,Skin Issues","Vitamin C rich,Immune boost,Skin health,Antioxidants","May worsen acid reflux,High sugar",immune-boost;skin-health;antioxidant,Fresh or juiced
38,Apple,Digestive Issues,"Constipation,High Cholesterol,Blood Sugar","Fiber rich,Pectin for gut,Lowers cholesterol,Blood sugar control","Pesticide residue,Seeds contain cyanide",digestive-aid;heart-healthy;blood-sugar,Raw or baked
39,Pear,Digestive Issues,"Constipation,Inflammation,High Cholesterol","High fiber,Anti-inflammatory,Heart healthy,Hypoallergenic","May cause bloating,High sugar",digestive-aid;anti-inflammatory;heart-healthy,Fresh or poached
40,Grapes,Heart Health,"High Blood Pressure,Inflammation,Cognitive Decline","Resveratrol,Heart healthy,Anti-inflammatory,Brain health","High sugar,Pesticide concerns",heart-healthy;anti-inflammatory;brain-health,Fresh or frozen
41,Cherries,Sleep Issues,"Insomnia,Muscle Pain,Inflammation","Natural melatonin,Anti-inflammatory,Muscle recovery,Antioxidants","High sugar,May cause digestive issues",sleep-aid;anti-inflammatory;muscle-support,Fresh or tart cherry juice
42,Strawberries,Heart Health,"High Blood Pressure,Inflammation,Skin Aging","Vitamin C,Antioxidants,Heart healthy,Skin health","Pesticide residue,May cause allergies",heart-healthy;antioxidant;skin-health,Fresh or smoothies
43,Raspberries,Blood Sugar,"Diabetes,Inflammation,Weight Management","Low sugar,High fiber,Anti-inflammatory,Weight management","May cause allergies,Expensive",blood-sugar;anti-inflammatory;weight-management,Fresh or desserts
44,Blackberries,Cognitive Health,"Memory Issues,Inflammation,Oral Health","Antioxidants,Brain health,Vitamin C,Oral health","May stain teeth,Seeds may irritate",brain-health;antioxidant;immune-boost,Fresh or smoothies
45,Coconut Oil,Brain Health,"Cognitive Decline,Dry Skin,Low Energy","MCT for brain,Skin moisturizer,Quick energy,Antimicrobial","High saturated fat,May raise cholesterol",brain-health;skin-health;energy-boost,Cooking or skin application
46,Olive Oil,Heart Health,"High Cholesterol,Inflammation,Skin Issues","Heart healthy fats,Anti-inflammatory,Antioxidants,Skin health","High calories,May cause digestive issues",heart-healthy;anti-inflammatory;skin-health,Dressings or cooking
47,Bone Broth,Joint Health,"Joint Pain,Gut Issues,Weak Immunity","Collagen for joints,Gut healing,Immune support,Mineral rich","High sodium,May contain heavy metals",joint-health;digestive-aid;immune-boost,Soup base or drink
48,Chicken Breast,Muscle Health,"Muscle Loss,Low Energy,Weight Management","Lean protein,Muscle building,B vitamins,Low fat","Antibiotics in non-organic,Bland if overcooked",muscle-support;energy-boost;weight-management,Grilled or baked
49,Turkey,Sleep Issues,"Insomnia,Anxiety,Muscle Recovery","Tryptophan for sleep,Lean protein,B vitamins,Low fat","May cause drowsiness,Dry if overcooked",sleep-aid;muscle-support;calming,Roasted or ground
50,Eggs,Energy and Brain,"Low Energy,Brain Fog,Weak Muscles","Complete protein,Choline for brain,B vitamins,Versatile","Cholesterol concerns if excessive,Potential allergen",energy-boost;brain-health;muscle-support,Any cooking method
51,Sardines,Heart Health,"Heart Disease,Bone Health,Inflammation","Omega-3 rich,Calcium from bones,Vitamin D,Low mercury","Strong taste,High sodium if canned",heart-healthy;bone-health;anti-inflammatory,Canned or grilled
52,Mackerel,Heart Health,"High Cholesterol,Depression,Inflammation","Omega-3 rich,Vitamin D,Anti-inflammatory,Brain health","Mercury concerns,Strong flavor",heart-healthy;brain-health;anti-inflammatory,Grilled or smoked
53,Tuna,Muscle Health,"Muscle Recovery,Low Energy,Heart Issues","High protein,Omega-3,B vitamins,Iron rich","Mercury concerns,High sodium if canned",muscle-support;energy-boost;heart-healthy,Salads or grilled
54,Shrimp,Thyroid Health,"Thyroid Issues,Low Energy,Weak Immunity","Iodine rich,Low calorie protein,Selenium,Zinc","High cholesterol,Potential allergen",thyroid-health;energy-boost;immune-boost,Grilled or stir-fried
55,Lentils,Blood Sugar,"Diabetes,Low Energy,Digestive Issues","High fiber,Plant protein,Blood sugar control,Iron rich","May cause gas,Contains antinutrients",blood-sugar;energy-boost;digestive-aid,Soups or salads
56,Black Beans,Heart Health,"High Cholesterol,Blood Sugar,Digestive Issues","Fiber rich,Plant protein,Heart healthy,Blood sugar control","May cause gas,Contains lectins",heart-healthy;blood-sugar;digestive-aid,Soups or tacos
57,Chickpeas,Blood Sugar,"Diabetes,Digestive Issues,Weight Management","High fiber,Plant protein,Blood sugar control,Satiety","May cause gas,Contains antinutrients",blood-sugar;digestive-aid;weight-management,Hummus or roasted
58,Kidney Beans,Heart Health,"High Cholesterol,Diabetes,Digestive Issues","Fiber rich,Plant protein,Heart healthy,Iron source","Must be cooked properly,May cause gas",heart-healthy;blood-sugar;digestive-aid,Chili or salads
59,Edamame,Hormone Balance,"Menopause,Bone Health,High Cholesterol","Phytoestrogens,Complete protein,Calcium,Fiber","Soy concerns for some,May affect thyroid",hormone-balance;bone-health;heart-healthy,Snack or salads
60,Tofu,Hormone Balance,"Menopause,High Cholesterol,Muscle Health","Plant protein,Phytoestrogens,Calcium,Low calorie","Soy concerns,Processed varieties",hormone-balance;heart-healthy;muscle-support,Stir-fries or grilled
61,Tempeh,Digestive Health,"Gut Issues,Muscle Health,Inflammation","Fermented probiotics,Complete protein,Fiber,B12","Soy concerns,Strong flavor",digestive-aid;muscle-support;gut-health,Stir-fries or grilled
62,Miso,Digestive Health,"Gut Issues,Immune Weakness,High Blood Pressure","Probiotics,Gut health,Immune support,Antioxidants","High sodium,Soy concerns",digestive-aid;immune-boost;gut-health,Soup or marinades
63,Sauerkraut,Digestive Health,"IBS,Low Immunity,Inflammation","Probiotics,Gut health,Vitamin C,Immune support","High sodium,May cause gas",digestive-aid;immune-boost;gut-health,Side dish or topping
64,Kimchi,Digestive Health,"Gut Issues,Low Immunity,Inflammation","Probiotics,Gut health,Vitamins,Anti-inflammatory","High sodium,Spicy for some",digestive-aid;immune-boost;anti-inflammatory,Side dish or rice bowls
65,Kefir,Digestive Health,"IBS,Bone Health,Immunity","Probiotics,Calcium rich,Protein,Gut healing","Lactose for some,Tangy taste",digestive-aid;bone-health;immune-boost,Drink or smoothies
66,Apple Cider Vinegar,Blood Sugar,"Diabetes,Digestive Issues,Weight Management","Blood sugar control,Digestive aid,Antimicrobial,Weight management","May damage tooth enamel,Can irritate throat",blood-sugar;digestive-aid;weight-management,Diluted drink or dressings
67,Goji Berries,Eye Health,"Vision Problems,Fatigue,Immune Weakness","Antioxidants,Eye health,Energy boost,Immune support","May interact with blood thinners,Expensive",eye-health;energy-boost;immune-boost,Snack or smoothies
68,Acai Berries,Antioxidant Support,"Oxidative Stress,Inflammation,Skin Aging","High antioxidants,Anti-inflammatory,Skin health,Energy","High sugar in commercial forms,Expensive",antioxidant;anti-inflammatory;skin-health,Smoothie bowls
69,Cacao,Mood and Heart,"Depression,High Blood Pressure,Fatigue","Mood enhancer,Antioxidants,Magnesium,Heart healthy","Caffeine content,May cause headaches",mood-boost;heart-healthy;antioxidant,Smoothies or treats
70,Spirulina,Energy and Immunity,"Fatigue,Low Immunity,Allergies","Protein rich,Immune boost,Detoxifying,Energy","May cause digestive issues,Heavy metal concerns",energy-boost;immune-boost;detox,Smoothies
71,Chlorella,Detox Support,"Heavy Metal Exposure,Low Immunity,Inflammation","Detoxifying,Immune support,Chlorophyll,Protein","May cause digestive issues,Green color",detox;immune-boost;anti-inflammatory,Smoothies or tablets
72,Wheatgrass,Detox Support,"Toxin Buildup,Low Energy,Anemia","Chlorophyll,Detoxifying,Iron rich,Energizing","May cause nausea,Gluten concerns",detox;energy-boost;blood-building,Juice shots
73,Moringa,Energy and Nutrition,"Fatigue,Malnutrition,Inflammation","Nutrient dense,Anti-inflammatory,Antioxidants,Energy","May interact with medications,Strong taste",energy-boost;anti-inflammatory;antioxidant,Powder in smoothies
74,Ashwagandha,Stress Relief,"Stress,Anxiety,Fatigue","Adaptogen,Stress relief,Energy balance,Sleep support","May cause drowsiness,Not for pregnancy",stress-relief;calming;energy-boost,Supplements or tea
75,Maca Root,Energy and Hormones,"Fatigue,Hormone Imbalance,Low Libido","Energy boost,Hormone balance,Stamina,Mood enhancer","May affect hormones,Digestive issues",energy-boost;hormone-balance;mood-boost,Powder in smoothies
76,Reishi Mushroom,Immune Support,"Low Immunity,Stress,Sleep Issues","Immune modulator,Stress relief,Sleep support,Antioxidants","May interact with medications,Bitter taste",immune-boost;stress-relief;sleep-aid,Tea or supplements
77,Lion's Mane Mushroom,Cognitive Health,"Brain Fog,Memory Issues,Nerve Damage","Brain health,Nerve regeneration,Focus,Memory","May cause allergies,Expensive",brain-health;focus;nerve-health,Supplements or cooked
78,Shiitake Mushroom,Immune Support,"Low Immunity,High Cholesterol,Inflammation","Immune boost,Lowers cholesterol,B vitamins,Anti-inflammatory","May cause skin reactions,Expensive",immune-boost;heart-healthy;anti-inflammatory,Stir-fries or soups
79,Oyster Mushroom,Immune and Heart,"High Cholesterol,Low Immunity,Anemia","Lowers cholesterol,Immune support,Iron,B vitamins","May cause allergies,Short shelf life",heart-healthy;immune-boost;blood-building,Stir-fries or grilled
80,Portobello Mushroom,Nutrient Support,"Low Energy,Nutrient Deficiency,Inflammation","B vitamins,Selenium,Antioxidants,Meaty texture","May absorb toxins,Short shelf life",energy-boost;antioxidant;weight-management,Grilled or stuffed
81,Brown Rice,Blood Sugar,"Diabetes,Digestive Issues,Low Energy","Whole grain fiber,Blood sugar control,Manganese,Sustained energy","Contains arsenic traces,Longer cooking time",blood-sugar;digestive-aid;energy-boost,Side dish or bowls
82,Wild Rice,Blood Sugar,"Diabetes,Heart Issues,Inflammation","High protein for grain,Antioxidants,Fiber,Low glycemic","Expensive,Strong flavor",blood-sugar;heart-healthy;antioxidant,Salads or pilafs
83,Barley,Heart Health,"High Cholesterol,Blood Sugar,Constipation","Beta-glucan fiber,Lowers cholesterol,Blood sugar control,Gut health","Contains gluten,May cause bloating",heart-healthy;blood-sugar;digestive-aid,Soups or salads
84,Buckwheat,Blood Sugar,"Diabetes,Heart Issues,Digestive Problems","Gluten-free,Blood sugar control,Heart healthy,High fiber","May cause allergies,Strong flavor",blood-sugar;heart-healthy;gluten-free,Pancakes or porridge
85,Amaranth,Bone Health,"Weak Bones,Anemia,Inflammation","Calcium rich,Iron source,Complete protein,Anti-inflammatory","May cause allergies,Slightly bitter",bone-health;blood-building;anti-inflammatory,Porridge or salads
86,Millet,Thyroid Health,"Thyroid Issues,Blood Sugar,Heart Health","Gluten-free,Magnesium,Heart healthy,Blood sugar control","May affect thyroid,Slightly bland",thyroid-health;blood-sugar;heart-healthy,Porridge or pilafs
87,Farro,Digestive Health,"Constipation,Blood Sugar,Energy Issues","High fiber,Sustained energy,Protein,Nutty flavor","Contains gluten,Requires soaking",digestive-aid;energy-boost;blood-sugar,Salads or soups
88,Spelt,Digestive Health,"Digestive Issues,Low Energy,Nutrient Deficiency","Easier to digest than wheat,Fiber,Protein,B vitamins","Contains gluten,Cross-contamination concerns",digestive-aid;energy-boost;nutrient-support,Bread or pasta
89,Teff,Blood Building,"Anemia,Bone Health,Blood Sugar","Iron rich,Calcium source,Gluten-free,Resistant starch","Small grain size,Unique taste",blood-building;bone-health;blood-sugar,Porridge or baking
90,Sorghum,Blood Sugar,"Diabetes,Celiac Disease,Inflammation","Gluten-free,High fiber,Antioxidants,Slow digesting","May be hard to find,Requires cooking",blood-sugar;gluten-free;antioxidant,Porridge or popped
91,Hemp Seeds,Brain Health,"Brain Fog,Inflammation,Skin Issues","Omega balance,Complete protein,GLA for skin,Anti-inflammatory","May cause digestive issues,Expensive",brain-health;anti-inflammatory;skin-health,Smoothies or salads
92,Pumpkin Seeds,Prostate Health,"Prostate Issues,Sleep Problems,Inflammation","Zinc for prostate,Magnesium,Tryptophan,Anti-inflammatory","High calories,May cause allergies",prostate-health;sleep-aid;anti-inflammatory,Snack or salad topping
93,Sunflower Seeds,Skin Health,"Skin Issues,Inflammation,Stress","Vitamin E,Selenium,Magnesium for stress,Anti-inflammatory","High calories,Potential allergen",skin-health;anti-inflammatory;stress-relief,Snack or baking
94,Sesame Seeds,Bone Health,"Weak Bones,Inflammation,Skin Issues","Calcium rich,Copper,Anti-inflammatory,Skin health","High calories,Potential allergen",bone-health;anti-inflammatory;skin-health,Tahini or garnish
95,Poppy Seeds,Sleep Support,"Insomnia,Anxiety,Pain","Natural sedative,Calcium,Iron,Fiber","May show on drug tests,Overconsumption dangerous",sleep-aid;calming;bone-health,Baking or dressings
96,Fennel Seeds,Digestive Health,"Bloating,Gas,Bad Breath","Reduces bloating,Freshens breath,Digestive aid,Anti-spasmodic","May affect estrogen,Large amounts unsafe",digestive-aid;anti-bloating;breath-freshener,Tea or cooking
97,Cumin Seeds,Digestive Health,"Indigestion,Bloating,Blood Sugar","Digestive aid,Iron source,Blood sugar control,Antioxidants","May cause heartburn,Photosensitivity",digestive-aid;blood-sugar;antioxidant,Cooking spice
98,Coriander Seeds,Digestive Health,"Bloating,Blood Sugar,Cholesterol","Digestive aid,Blood sugar control,Lowers cholesterol,Antioxidants","May cause allergies,Strong flavor",digestive-aid;blood-sugar;heart-healthy,Cooking spice
99,Cardamom,Digestive Health,"Bad Breath,Indigestion,Blood Pressure","Breath freshener,Digestive aid,Lowers blood pressure,Antioxidants","May cause allergies,Expensive",digestive-aid;blood-pressure;antioxidant,Tea or baking
100,Cinnamon,Blood Sugar,"Diabetes,Inflammation,Heart Issues","Blood sugar control,Anti-inflammatory,Antioxidants,Heart healthy","Coumarin in cassia type,May interact with medications",blood-sugar;anti-inflammatory;heart-healthy,Baking or beverages
101,Cloves,Dental Health,"Toothache,Bad Breath,Digestive Issues","Natural anesthetic,Antimicrobial,Digestive aid,Antioxidants","May cause irritation,Blood thinner interaction",dental-health;antimicrobial;digestive-aid,Cooking or dental remedy
102,Nutmeg,Sleep Support,"Insomnia,Digestive Issues,Joint Pain","Sleep aid,Digestive support,Anti-inflammatory,Pain relief","Toxic in large amounts,May cause hallucinations",sleep-aid;digestive-aid;anti-inflammatory,Baking or beverages
103,Black Pepper,Nutrient Absorption,"Poor Absorption,Digestive Issues,Inflammation","Enhances nutrient absorption,Digestive aid,Anti-inflammatory,Antioxidants","May irritate stomach,Excessive causes issues",digestive-aid;anti-inflammatory;nutrient-absorption,Cooking spice
104,Cayenne Pepper,Metabolism,"Slow Metabolism,Pain,Congestion","Boosts metabolism,Pain relief,Clears congestion,Circulation","May cause stomach irritation,Burns mucous membranes",metabolism-boost;pain-relief;respiratory-aid,Cooking or capsules
105,Paprika,Eye Health,"Vision Issues,Inflammation,Anemia","Vitamin A,Anti-inflammatory,Iron source,Antioxidants","May cause allergies,Mild effect",eye-health;anti-inflammatory;blood-building,Cooking spice
106,Saffron,Mood Support,"Depression,PMS,Eye Health","Mood enhancer,PMS relief,Eye health,Antioxidants","Very expensive,Toxic in large doses",mood-boost;hormone-balance;eye-health,Cooking or tea
107,Oregano,Immune Support,"Infections,Respiratory Issues,Inflammation","Antimicrobial,Immune boost,Anti-inflammatory,Antioxidants","May cause allergies,Oil is very potent",immune-boost;antimicrobial;anti-inflammatory,Cooking or oil
108,Thyme,Respiratory Health,"Cough,Bronchitis,Infections","Antimicrobial,Cough relief,Respiratory support,Antioxidants","May cause allergies,Not for extended use",respiratory-aid;antimicrobial;antioxidant,Cooking or tea
109,Rosemary,Cognitive Health,"Memory Issues,Stress,Inflammation","Memory enhancer,Stress relief,Anti-inflammatory,Antioxidants","May affect blood pressure,Not for pregnancy in large amounts",brain-health;stress-relief;anti-inflammatory,Cooking or tea
110,Sage,Cognitive Health,"Memory Issues,Menopause,Sore Throat","Memory support,Menopause relief,Sore throat remedy,Anti-inflammatory","May affect blood sugar,Not for pregnancy",brain-health;hormone-balance;respiratory-aid,Cooking or tea
111,Basil,Stress Relief,"Stress,Inflammation,Blood Sugar","Adaptogen,Anti-inflammatory,Blood sugar support,Antioxidants","May affect blood clotting,Strong flavor",stress-relief;anti-inflammatory;blood-sugar,Cooking or tea
112,Mint,Digestive Health,"Nausea,Headaches,Respiratory Issues","Nausea relief,Headache relief,Respiratory support,Cooling","May worsen acid reflux,Not for infants",digestive-aid;pain-relief;respiratory-aid,Tea or cooking
113,Parsley,Kidney Health,"Water Retention,Bad Breath,Kidney Stones","Natural diuretic,Breath freshener,Kidney support,Vitamin rich","May affect blood clotting,Not for kidney disease",kidney-health;diuretic;nutrient-support,Garnish or smoothies
114,Cilantro,Detox Support,"Heavy Metal Exposure,Digestive Issues,Inflammation","Heavy metal chelation,Digestive aid,Anti-inflammatory,Antioxidants","Genetic taste aversion,May cause allergies",detox;digestive-aid;anti-inflammatory,Cooking or garnish
115,Dill,Digestive Health,"Bloating,Insomnia,Bad Breath","Digestive aid,Sleep support,Breath freshener,Antimicrobial","May cause sun sensitivity,Strong flavor",digestive-aid;sleep-aid;antimicrobial,Cooking or pickles
116,Tarragon,Digestive Health,"Appetite Loss,Insomnia,Toothache","Appetite stimulant,Sleep aid,Pain relief,Digestive support","Contains estragole,Not for pregnancy",digestive-aid;sleep-aid;appetite-stimulant,Cooking
117,Chives,Heart Health,"High Blood Pressure,Bone Health,Immunity","Blood pressure support,Vitamin K,Immune support,Low calorie","May cause bad breath,Mild effect",heart-healthy;bone-health;immune-boost,Garnish or cooking
118,Leek,Heart Health,"High Cholesterol,Blood Pressure,Immunity","Heart healthy,Blood pressure support,Immune boost,Fiber","May cause gas,Strong flavor when raw",heart-healthy;blood-pressure;immune-boost,Soups or sautéed
119,Shallot,Heart Health,"High Blood Pressure,Blood Sugar,Immunity","Blood pressure support,Blood sugar control,Immune boost,Antioxidants","May cause bad breath,Strong flavor",heart-healthy;blood-sugar;immune-boost,Cooking
120,Scallion,Immune Support,"Cold,Flu,Bone Health","Immune boost,Vitamin K for bones,Low calorie,Antioxidants","May cause bad breath,Mild effect",immune-boost;bone-health;antioxidant,Garnish or cooking
121,Artichoke,Liver Health,"Liver Issues,High Cholesterol,Digestive Problems","Liver support,Cholesterol reduction,Digestive aid,Antioxidants","May cause gas,Potential allergen",liver-health;heart-healthy;digestive-aid,Steamed or grilled
122,Asparagus,Kidney Health,"Water Retention,UTI Prevention,Pregnancy Support","Natural diuretic,Folate for pregnancy,Prebiotic fiber,Antioxidants","Causes smelly urine,May affect gout",kidney-health;diuretic;pregnancy-support,Roasted or grilled
123,Brussels Sprouts,Cancer Prevention,"Cancer Risk,Inflammation,Blood Sugar","Sulforaphane,Anti-inflammatory,Blood sugar control,Fiber","May cause gas,Bitter for some",cancer-prevention;anti-inflammatory;blood-sugar,Roasted or sautéed
124,Cabbage,Digestive Health,"Ulcers,Inflammation,Weight Management","Ulcer healing,Anti-inflammatory,Low calorie,Vitamin C","May cause gas,Thyroid concerns if raw",digestive-aid;anti-inflammatory;weight-management,Salads or fermented
125,Cauliflower,Cancer Prevention,"Cancer Risk,Inflammation,Weight Management","Sulforaphane,Anti-inflammatory,Low carb,Versatile","May cause gas,Thyroid concerns",cancer-prevention;anti-inflammatory;weight-management,Roasted or riced
126,Radish,Liver Health,"Liver Issues,Digestive Problems,Congestion","Liver support,Digestive aid,Clears congestion,Low calorie","May cause gas,Strong flavor",liver-health;digestive-aid;respiratory-aid,Salads or pickled
127,Turnip,Blood Sugar,"Diabetes,Inflammation,Weight Management","Low glycemic,Anti-inflammatory,High fiber,Vitamin C","May cause gas,Bitter taste",blood-sugar;anti-inflammatory;weight-management,Roasted or mashed
128,Rutabaga,Heart Health,"High Blood Pressure,Constipation,Weight Management","Potassium rich,High fiber,Low calorie,Vitamin C","May cause gas,Long cooking time",heart-healthy;digestive-aid;weight-management,Roasted or mashed
